4,-27,-15,-33,-9,-26,-2,-57,-39,-60,-3,-78,-50,108,-13,-30,93,-24,103,-30,81,14,38,78,33,-6,-49,
75,-80,-28,-37,-42,62,2,64,42,25,40,-91,44,-91,-26,24,-102,123,-91,-67,22,50,21,68,49,-20,16,
38,56,-52,15,-4,6,30,-14,0,-35,-77,103,-65,-24,75,87,-77,-54,0,-7,99,8,11,-15,88,-70,-87,
38,-18,11,25,92,20,-2,-55,-39,-20,-18,32,-8,53,-78,-83,-3,-13,-48,-17,41,37,-61,38,64,55,-24,
2,5,-3,86,-66,-55,-55,46,89,-20,-1,-20,12,1,-18,-7,78,41,21,85,21,13,-43,-99,-19,6,-33,
25,43,-33,7,60,78,-4,-127,-8,15,-79,102,-92,-9,-55,-11,45,29,-50,49,-57,67,-26,77,37,-112,45,
46,-12,107,-61,-64,104,-45,51,24,10,-53,57,-27,-5,-37,-16,-24,26,-55,-63,19,-13,-28,2,20,-111,-30,
23,-28,15,43,32,-110,-47,111,-45,22,-33,-46,17,89,-33,21,20,-54,-20,47,-32,64,98,-32,-106,56,6,
62,-6,69,-27,14,53,13,79,-31,-95,82,-72,0,-45,-75,53,88,41,-45,-97,50,35,-19,-38,2,-58,-18,
22,-18,-13,5,4,112,-86,58,-62,14,-52,1,-92,-40,34,-22,53,4,29,-45,33,17,-37,-17,-113,86,73,
43,17,-7,3,-100,-43,36,-20,-2,83,61,-71,82,92,42,-95,-27,28,-45,-9,-42,-46,24,-33,-35,40,72,
-90,14,6,72,-31,9,68,1,-29,-56,52,-14,38,-22,63,-39,50,14,-86,76,25,-104,67,-34,-46,38,-16,
-26,64,47,-68,-9,96,-101,72,84,15,25,-26,-89,-31,67,-3,43,-62,-14,-29,48,65,-20,-55,-46,15,6,
72,-74,110,34,12,89,-26,42,28,-34,-57,36,4,6,-80,-113,-10,51,14,11,-38,-33,-35,-108,122,-54,-56,
91,6,88,29,24,-60,-14,-31,49,37,-98,-44,-98,-49,-21,-71,-71,25,58,-23,68,89,-39,-26,-50,-35,11,
69,-81,57,-24,16,-12,-25,11,-54,-84,38,-60,-9,19,97,87,49,-75,8,1,-9,-64,-52,-41,-44,117,-26,
-8,43,46,-21,27,27,-62,-6,-8,85,50,-44,-113,106,56,-20,-23,10,7,20,102,-45,-38,49,-42,-101,-8,
8,-33,-29,34,82,29,-36,55,-15,17,13,-38,-10,-8,24,4,11,7,8,7,75,8,-2,-51,-66,64,-118,
-13,-4,92,-35,-14,81,-44,-56,13,-30,-90,-42,25,-27,56,20,14,-42,4,2,36,114,-34,26,-27,45,-21,
17,-4,26,-1,51,44,-81,34,86,-113,-31,-100,-28,41,-16,10,11,6,73,-1,98,-9,-44,-23,63,-68,-36,
-59,94,-26,-50,-57,35,26,-8,48,99,54,-100,-103,-62,114,51,15,5,27,-73,-73,62,31,28,-12,73,-83,
1,-71,-36,-80,-44,23,-101,7,-41,-33,-20,61,-91,-51,-71,-54,99,67,-22,81,17,-11,8,51,33,-25,40,
-32,39,110,-35,-58,-88,31,4,-94,69,40,-103,-44,64,7,80,17,61,-24,-7,-14,92,25,73,-44,-34,-69,
-1,0,-82,4,71,77,-68,16,58,-3,-14,28,-7,-50,37,-51,32,-15,-68,-41,29,38,7,90,-61,-43,84,
50,21,-34,-28,76,54,23,-18,-95,1,-4,2,43,-43,56,17,-74,-12,15,1,-34,119,97,-19,-26,-42,-78,
-89,-86,78,118,5,-24,-23,45,93,-16,0,-86,9,-34,-71,14,-9,-24,49,-48,7,94,-32,28,44,59,-34,
32,-12,-89,40,5,-16,-26,4,-14,15,-19,-41,-9,-16,-5,15,53,59,40,-10,4,-2,-14,-1,16,10,26,
-20,22,3,-34,-28,-29,-13,-11,18,11,-7,-57,60,92,-96,-24,45,121,95,-66,-40,2,-28,-32,-11,-36,28,
103,-29,3,68,34,11,39,-12,-114,16,-10,56,-29,-37,-7,27,23,-36,2,-14,40,-1,20,-64,-77,55,-73,
93,13,75,37,-35,-1,-10,1,-86,-39,3,-16,9,-5,-45,-15,107,-58,14,-20,10,-35,-56,12,-22,15,89,
-110,0,-50,-60,58,51,-41,-50,-24,42,48,68,66,64,-39,-20,114,-72,-8,18,-88,-31,-24,-26,52,-61,-43,
21,21,11,16,-75,30,-9,-96,-72,-27,-35,72,0,25,36,74,-85,-19,-16,-41,-50,81,-15,75,5,-7,-48,
